date,stock_id,stock_name,market,open,high,low,close,volume,volume_ma20_prev,start_day_volume_ratio_vs_prev20,prev_day_volume_ratio_vs_prev20,future_5d_high,future_5d_high_day_offset,future_5d_high_from_start_low_pct,next_open,signal_close_to_next_open_gap_pct,next_open_to_d5_high_return_pct,next_open_to_d10_high_return_pct,next_open_to_d20_high_return_pct,signal_day_close_return_pct,signal_day_high_from_low_pct
20260526,2254,巨鎧精密-創,TWSE,58.5,60.1,57.5,59.2,37060.0,26907.3,1.3773213960523725,0.03344760709409727,70.9,3,23.304347826086968,59.2,0.0,19.76351351351351,19.76351351351351,19.76351351351351,1.1965811965811923,4.521739130434788
20260518,2258,鴻華先進-創,TWSE,27.1,27.2,25.8,26.15,1839852.0,789356.25,2.3308259103541653,0.9896874837816165,31.45,5,21.899224806201545,26.15,0.0,20.267686424474185,26.386233269598456,30.019120458891013,-3.5055350553505615,5.426356589147274
20260519,2258,鴻華先進-創,TWSE,26.15,27.1,26.15,26.9,553310.0,842865.3,0.6564631382974242,2.3308259103541653,31.45,4,20.267686424474185,27.0,0.3717472118959231,16.481481481481474,22.407407407407387,25.92592592592593,2.8680688336520044,3.632887189292555
20250731,2301,光寶科,listed,121.5,121.5,115.0,119.0,38023651.0,10904967.9,3.4868191588165978,1.6934834131014442,142.5,5,23.913043478260864,116.5,-2.1008403361344574,22.317596566523612,22.317596566523612,22.317596566523612,-2.0576131687242816,5.652173913043468
20250801,2301,光寶科,listed,116.5,122.5,115.5,121.5,21101469.0,12049641.05,1.7512114188662906,3.4868191588165978,142.5,4,23.376623376623385,119.5,-1.6460905349794275,19.246861924686186,19.246861924686186,19.246861924686186,4.29184549356223,6.060606060606055
20250902,2301,光寶科,listed,127.0,128.5,122.5,125.0,12192391.0,32792250.9,0.37180707836069893,0.42371845223816884,154.5,5,26.122448979591837,125.5,0.40000000000000036,23.10756972111554,47.808764940239044,50.99601593625498,-1.5748031496062964,4.8979591836734615
20250903,2301,光寶科,listed,125.5,127.0,124.5,125.0,4836067.0,30364056.3,0.1592694649298223,0.37180707836069893,169.5,5,36.14457831325302,126.0,0.8000000000000007,34.52380952380953,50.39682539682539,50.39682539682539,-0.3984063745019917,2.008032128514059
20250904,2301,光寶科,listed,126.0,128.0,125.0,125.5,12344708.0,24190811.6,0.5103056567147172,0.1592694649298223,169.5,4,35.60000000000001,128.0,1.9920318725099584,32.421875,48.046875,48.046875,-0.3968253968253954,2.400000000000002
20250905,2301,光寶科,listed,128.0,131.5,127.0,130.5,21545379.0,21316935.5,1.0107165263036988,0.5103056567147172,169.5,3,33.464566929133866,135.5,3.831417624521083,25.09225092250922,39.85239852398523,39.85239852398523,1.953125,3.543307086614167
20250909,2301,光寶科,listed,135.5,144.5,134.0,140.5,59240623.0,20487676.15,2.891524766707131,1.0107165263036988,170.5,5,27.23880597014925,150.0,6.761565836298922,13.666666666666671,26.333333333333343,26.333333333333343,3.690036900368998,7.835820895522394
20250910,2301,光寶科,listed,150.0,154.5,149.5,154.5,20822620.0,21454269.2,0.9705583446300748,2.891524766707131,185.5,5,24.080267558528433,161.0,4.207119741100329,15.217391304347828,17.701863354037272,17.701863354037272,3.0000000000000027,3.3444816053511683
20250911,2301,光寶科,listed,161.0,169.5,156.5,165.5,160599726.0,21148257.75,7.593993221498352,0.9705583446300748,189.5,5,21.086261980830677,165.5,0.0,14.501510574018116,14.501510574018116,14.501510574018116,2.795031055900621,8.306709265175716
20251020,2301,光寶科,listed,166.0,167.5,161.0,164.5,25076152.0,43098170.45,0.5818379698760507,1.2340917756825842,194.0,5,20.496894409937894,166.0,0.911854103343468,16.867469879518083,18.67469879518073,18.67469879518073,-0.9036144578313254,4.037267080745344
20251021,2301,光寶科,listed,166.0,169.5,164.0,165.5,23784896.0,43310847.05,0.5491671860525296,0.5818379698760507,197.0,5,20.12195121951219,164.5,-0.6042296072507503,19.756838905775087,19.756838905775087,19.756838905775087,-0.3012048192771122,3.3536585365853577
20251022,2301,光寶科,listed,164.5,169.0,164.0,167.5,15219695.0,36470105.55,0.417319740935052,0.5491671860525296,197.0,4,20.12195121951219,165.0,-1.4925373134328401,19.393939393939384,19.393939393939384,19.393939393939384,1.823708206686936,3.0487804878048808
20260206,2301,光寶科,TWSE,163.0,165.0,161.0,164.5,12317547.0,23986128.85,0.5135279259537538,0.8844423657547125,194.0,5,20.496894409937894,169.0,2.735562310030404,14.792899408284033,18.343195266272193,18.343195266272193,0.9202453987730008,2.4844720496894457
20260429,2301,光寶科,TWSE,171.0,174.0,168.0,172.0,21954424.0,25593768.55,0.857803490607873,0.952106819922904,203.5,5,21.130952380952372,170.0,-1.1627906976744207,19.705882352941174,44.705882352941174,54.117647058823536,0.5847953216374213,3.571428571428581
20260430,2301,光寶科,TWSE,170.0,179.5,164.5,166.0,57280644.0,26246695.35,2.182394516191921,0.857803490607873,214.5,5,30.395136778115493,168.5,1.5060240963855387,27.299703264094966,45.99406528189911,55.48961424332344,-2.352941176470591,9.118541033434656
20260504,2301,光寶科,TWSE,168.5,175.5,168.0,171.5,36940897.0,27851045.45,1.3263738004492036,2.182394516191921,224.0,5,33.33333333333333,172.0,0.291545189504383,30.232558139534895,43.0232558139535,52.32558139534884,1.7804154302670572,4.464285714285721
20260505,2301,光寶科,TWSE,172.0,172.5,168.5,171.0,16969753.0,29188583.4,0.5813832335556237,1.3263738004492036,246.0,5,45.99406528189911,175.0,2.3391812865497075,40.57142857142857,40.57142857142857,49.71428571428571,-0.5813953488372103,2.3738872403560762
20260506,2301,光寶科,TWSE,175.0,187.0,173.5,185.0,90200922.0,29476773.6,3.060067673078033,0.5813832335556237,246.0,4,41.78674351585015,188.0,1.6216216216216273,30.85106382978724,30.85106382978724,39.36170212765957,5.714285714285716,7.78097982708934
20260507,2301,光寶科,TWSE,188.0,203.5,185.5,203.5,53993413.0,33240442.15,1.624328965190976,3.060067673078033,246.0,3,32.61455525606469,208.0,2.211302211302213,18.26923076923077,18.26923076923077,25.96153846153846,8.244680851063823,9.703504043126676
20260508,2301,光寶科,TWSE,208.0,214.5,198.5,204.0,98460939.0,35080418.25,2.8067207836098134,1.624328965190976,246.0,2,23.929471032745585,210.5,3.1862745098039325,16.86460807600949,16.86460807600949,24.46555819477434,-1.9230769230769273,8.060453400503786
20260520,2301,光寶科,TWSE,207.5,212.5,203.0,204.0,22371253.0,45503339.95,0.49163980104717564,0.4976506357098854,262.0,5,29.064039408866993,211.0,3.431372549019618,24.17061611374407,24.17061611374407,24.17061611374407,-1.6867469879518038,4.679802955665036
20260521,2301,光寶科,TWSE,211.0,211.5,204.0,204.5,26302849.0,44347173.5,0.5931121856052449,0.49163980104717564,262.0,4,28.431372549019617,205.0,0.24449877750611915,27.80487804878049,27.80487804878049,27.80487804878049,-3.080568720379151,3.6764705882353033
20260522,2301,光寶科,TWSE,205.0,209.0,202.5,207.0,20418494.0,43811046.75,0.46605811809324094,0.5931121856052449,262.0,3,29.38271604938272,212.0,2.4154589371980784,23.584905660377366,23.584905660377366,23.584905660377366,0.9756097560975618,3.2098765432098775
20260525,2301,光寶科,TWSE,212.0,227.5,211.5,227.5,33551128.0,42388281.25,0.7915189531304716,0.46605811809324094,262.0,2,23.87706855791962,234.0,2.857142857142847,11.965811965811968,11.965811965811968,11.965811965811968,7.311320754716988,7.56501182033098
20250910,2302,麗正,listed,16.1,16.1,15.95,16.1,203996.0,411898.1,0.4952584146418738,0.9527341289943516,19.25,3,20.68965517241379,16.3,1.2422360248447228,18.09815950920244,18.09815950920244,20.552147239263796,0.0,0.9404388714733702
20251009,2302,麗正,listed,17.7,17.7,17.4,17.4,397036.0,1199107.85,0.3311094994499452,0.22281300848549754,21.3,5,22.41379310344829,16.95,-2.5862068965517238,25.663716814159308,25.663716814159308,25.663716814159308,-1.6949152542372947,1.7241379310344973
20251013,2302,麗正,listed,16.95,17.3,16.75,17.3,565076.0,1179613.25,0.47903497184352584,0.3311094994499452,21.3,4,27.164179104477615,17.55,1.4450867052023142,21.36752136752136,21.36752136752136,21.36752136752136,2.06489675516226,3.2835820895522394
20251014,2302,麗正,listed,17.55,18.15,17.35,17.35,1154577.0,1183885.45,0.9752438464380148,0.47903497184352584,21.3,3,22.76657060518732,18.55,6.916426512968288,14.82479784366577,14.82479784366577,14.82479784366577,-1.1396011396011319,4.610951008645525
20260116,2302,麗正,TWSE,18.8,19.3,18.75,19.1,1451117.0,506237.0,2.8664775589299083,1.055681430915474,22.65,5,20.799999999999997,19.3,1.0471204188481575,17.35751295336787,17.35751295336787,17.35751295336787,1.5957446808510634,2.9333333333333433
20260427,2302,麗正,TWSE,18.5,18.75,17.15,18.05,1339061.0,781769.8,1.7128584399141538,0.9934555937140978,20.6,5,20.11661807580176,18.2,0.8310249307479145,13.186813186813207,29.94505494505495,86.53846153846156,-2.43243243243243,9.329446064139946
20260505,2302,麗正,TWSE,19.15,20.6,19.15,20.3,5177919.0,945120.3,5.478581932903144,3.408902605159045,23.65,5,23.498694516971284,20.5,0.9852216748768461,15.365853658536576,33.17073170731708,98.29268292682927,6.005221932114901,7.571801566579639
20260506,2302,麗正,TWSE,20.5,20.6,19.75,19.85,2311132.0,1191848.55,1.9391155025527362,5.478581932903144,26.0,5,31.645569620253156,20.1,1.2594458438287104,29.35323383084576,35.82089552238805,102.23880597014924,-3.170731707317065,4.303797468354431
20260507,2302,麗正,TWSE,20.1,20.65,19.9,20.15,2387951.0,1281635.7,1.8632057455952578,1.9391155025527362,27.3,5,37.18592964824121,20.15,0.0,35.48387096774195,35.48387096774195,101.73697270471465,0.24875621890545485,3.7688442211055273
20260508,2302,麗正,TWSE,20.15,20.35,19.1,19.55,1144345.0,1381064.7,0.8285962272440965,1.8632057455952578,27.3,4,42.93193717277486,20.0,2.3017902813299296,36.5,44.99999999999999,103.24999999999997,-2.977667493796521,6.54450261780104
20260511,2302,麗正,TWSE,20.0,21.5,19.95,21.5,4993779.0,1420629.4,3.515187704829986,0.8285962272440965,27.3,3,36.8421052631579,23.65,9.999999999999986,15.433403805496848,30.655391120507392,71.88160676532772,7.499999999999996,7.769423558897248
20260518,2302,麗正,TWSE,24.7,25.9,23.3,25.55,5028956.0,3921209.4,1.282501260963008,2.543315487603512,30.9,5,32.618025751072956,25.0,-2.1526418786692814,23.599999999999998,62.59999999999999,62.59999999999999,3.4412955465587203,11.158798283261785
20260519,2302,麗正,TWSE,25.0,25.9,24.65,25.05,3821003.0,4001981.55,0.9547777650299263,1.282501260963008,33.95,5,37.72819472616635,25.1,0.1996007984031989,35.25896414342631,61.95219123505975,66.53386454183266,0.20000000000000018,5.070993914807298
20260520,2302,麗正,TWSE,25.1,26.25,24.65,24.95,4213919.0,4107387.1,1.0259366593423833,0.9547777650299263,37.25,5,51.11561866125762,25.3,1.4028056112224574,47.233201581027664,60.67193675889327,78.06324110671936,-0.5976095617529986,6.490872210953347
20260521,2302,麗正,TWSE,25.3,27.2,25.25,26.4,8954174.0,4247922.35,2.1078949336256114,1.0259366593423833,37.25,4,47.524752475247524,26.5,0.37878787878788955,40.56603773584906,53.39622641509434,83.01886792452831,4.347826086956519,7.72277227722773
20260522,2302,麗正,TWSE,26.5,29.0,26.35,28.1,7990440.0,4657878.45,1.7154676932370359,2.1078949336256114,39.25,5,48.95635673624288,28.35,0.8896797153024938,38.4479717813051,43.38624338624337,78.48324514991181,6.037735849056602,10.056925996204935
20260525,2302,麗正,TWSE,28.35,30.9,28.2,30.9,9364396.0,4998815.75,1.8733228965280426,1.7154676932370359,40.65,5,44.148936170212764,30.95,0.16181229773462036,31.340872374798057,31.340872374798057,63.48949919224556,8.994708994708978,9.57446808510638
20260526,2302,麗正,TWSE,30.95,33.95,30.75,33.95,18505491.0,5429206.05,3.4085077688292933,1.8733228965280426,40.65,4,32.19512195121952,36.0,6.038291605301915,12.916666666666664,12.916666666666664,40.555555555555564,9.693053311793221,10.406504065040668
20260527,2302,麗正,TWSE,36.0,37.25,32.35,32.7,15444025.0,6287527.55,2.4562954002483854,3.4085077688292933,40.65,3,25.656877897990714,32.05,-1.987767584097877,26.833073322932922,26.833073322932922,70.35881435257411,-9.166666666666657,15.146831530139092
20260528,2302,麗正,TWSE,32.05,35.95,31.8,35.7,16558596.0,7040967.05,2.3517502471482237,2.4562954002483854,40.65,2,27.83018867924527,36.65,2.6610644257702987,10.914051841746254,10.914051841746254,48.976807639836295,11.388455538221542,13.050314465408807
20260608,2302,麗正,TWSE,30.45,32.05,30.45,31.6,1534671.0,9030175.1,0.16994919622322718,0.1753888699636381,38.0,5,24.79474548440066,32.1,1.5822784810126667,18.38006230529594,57.63239875389408,80.99688473520249,3.776683087027921,5.254515599343179
20260609,2302,麗正,TWSE,32.1,33.95,31.7,33.95,949306.0,8857219.7,0.10717877981506997,0.16994919622322718,41.8,5,31.861198738170348,33.0,-2.798232695139924,26.66666666666666,53.33333333333334,76.06060606060608,5.763239875389403,7.097791798107256
20260610,2302,麗正,TWSE,33.0,33.55,32.0,32.0,918667.0,8715596.15,0.10540495270653402,0.10717877981506997,45.05,5,40.78124999999999,30.9,-3.4375000000000044,45.79288025889967,76.6990291262136,88.02588996763757,-3.0303030303030276,4.843749999999991
20260611,2302,麗正,TWSE,30.9,31.5,30.0,31.5,1153097.0,7881900.35,0.14629682548574724,0.10540495270653402,48.5,5,61.66666666666667,33.3,5.714285714285716,45.64564564564566,63.96396396396398,74.47447447447448,1.9417475728155331,5.000000000000004
20260612,2302,麗正,TWSE,33.3,34.65,32.85,34.65,1734689.0,7081799.95,0.2449502968521442,0.14629682548574724,50.6,5,54.033485540334844,35.95,3.751803751803773,40.751043115438094,51.87760778859527,61.61335187760777,4.054054054054057,5.47945205479452
20260615,2302,麗正,TWSE,35.95,38.0,35.5,38.0,3151869.0,6722904.7,0.4688254765830609,0.2449502968521442,50.6,4,42.535211267605646,38.4,1.0526315789473717,31.77083333333335,42.1875,51.30208333333335,5.702364394993031,7.042253521126751
20260616,2302,麗正,TWSE,38.4,41.8,38.25,41.8,12202574.0,6629050.35,1.840772562543593,0.4688254765830609,50.6,3,32.287581699346404,41.15,-1.5550239234449759,22.96476306196842,32.68529769137303,41.190765492102074,8.854166666666675,9.281045751633975
20260617,2302,麗正,TWSE,41.15,45.05,38.3,45.0,20830490.0,7048128.9,2.95546382529979,1.840772562543593,54.6,5,42.55874673629245,45.5,1.1111111111111072,19.999999999999996,21.75824175824175,27.692307692307704,9.356014580801952,17.624020887728452
20260618,2302,麗正,TWSE,45.5,48.5,45.4,47.0,30436049.0,7878957.45,3.862953848037344,2.95546382529979,54.6,4,20.264317180616743,47.1,0.21276595744681437,15.923566878980889,23.354564755838638,23.354564755838638,3.296703296703307,6.8281938325991165
20260623,2302,麗正,TWSE,47.45,49.8,45.3,45.65,8583195.0,9288701.55,0.9240468060899211,1.6422833592194805,54.6,2,20.529801324503328,45.0,-1.4238773274917849,21.333333333333336,29.11111111111111,29.11111111111111,-3.7934668071654465,9.933774834437092
20260624,2302,麗正,TWSE,45.0,50.2,45.0,50.2,11081056.0,9249641.5,1.1979984305337672,0.9240468060899211,54.6,1,21.333333333333336,53.4,6.374501992031867,2.2471910112359605,8.801498127340835,8.801498127340835,11.555555555555564,11.555555555555564
20260626,2302,麗正,TWSE,47.45,50.9,47.0,47.1,8956448.0,8973691.6,0.9980784273887906,1.9541159900668135,58.1,5,23.61702127659575,46.7,-0.849256900212314,24.411134903640242,24.411134903640242,24.411134903640242,-0.737618545837726,8.297872340425538
20260629,2302,麗正,TWSE,46.7,49.35,45.7,47.2,4582974.0,8593584.2,0.5333018090402838,0.9980784273887906,58.1,4,27.133479212253818,48.6,2.9661016949152463,19.547325102880663,19.547325102880663,19.547325102880663,1.0706638115631772,7.9868708971553515
20260630,2302,麗正,TWSE,48.6,49.95,47.6,47.85,6320000.0,7942191.45,0.7957501452574528,0.5333018090402838,58.1,3,22.058823529411754,49.4,3.239289446185989,17.61133603238867,17.61133603238867,17.61133603238867,-1.5432098765432056,4.936974789915971
20260701,2302,麗正,TWSE,49.4,52.2,47.95,50.4,12983000.0,7730503.85,1.679450686775093,0.7957501452574528,58.1,2,21.167883211678816,51.0,1.1904761904761862,13.921568627450975,13.921568627450975,13.921568627450975,2.0242914979757165,8.86339937434828
20260102,2303,聯電,TWSE,49.35,49.4,48.4,48.7,29528142.0,53627734.15,0.5506132688248213,0.47428838004323737,58.4,4,20.661157024793386,48.5,-0.4106776180698213,20.412371134020614,21.649484536082465,64.32989690721651,-1.317122593718334,2.066115702479343
