date,stock_id,stock_name,market,institutional_net_lots
20260521,2374,佳能,TWSE,892.389
20260521,6414,樺漢,TWSE,890.134
20260521,2812,台中銀,TWSE,884.706
20260521,2302,麗正,TWSE,879.004
20260521,4976,佳凌,TWSE,876.506
20260521,6214,精誠,TWSE,867.578
20260521,2233,宇隆,TWSE,862.595
20260521,009817,國泰日本不動產,TWSE,854.222
20260521,6197,佳必琪,TWSE,824.002
20260521,2465,麗臺,TWSE,811.671
20260521,2367,燿華,TWSE,804.751
20260521,9914,美利達,TWSE,792.0
20260521,8110,華東,TWSE,784.951
20260521,8215,明基材,TWSE,781.57
20260521,2392,正崴,TWSE,767.406
20260521,2458,義隆,TWSE,762.924
20260521,2420,新巨,TWSE,762.089
20260521,3048,益登,TWSE,760.251
20260521,00692,富邦公司治理,TWSE,759.741
20260521,2442,新美齊,TWSE,730.0
20260521,2634,漢翔,TWSE,729.574
20260521,1536,和大,TWSE,717.531
20260521,1528,恩德,TWSE,701.853
20260521,2331,精英,TWSE,699.497
20260521,1714,和桐,TWSE,696.321
20260521,2419,仲琦,TWSE,692.107
20260521,00736,國泰新興市場,TWSE,673.0
20260521,00995,主動中信台灣卓越,TWSE,669.916
20260521,1503,士電,TWSE,665.611
20260521,4739,康普,TWSE,665.239
20260521,009804,聯邦台精彩50,TWSE,664.398
20260521,00954,中信日本半導體,TWSE,650.216
20260521,2390,云辰,TWSE,650.0
20260521,3013,晟銘電,TWSE,641.185
20260521,00912,中信臺灣智慧50,TWSE,639.468
20260521,6166,凌華,TWSE,638.82
20260521,3056,富華新,TWSE,636.789
20260521,3011,今皓,TWSE,634.0
20260521,6901,鑽石投資,TWSE,633.0
20260521,1309,台達化,TWSE,617.078
20260521,3596,智易,TWSE,616.408
20260521,5484,慧友,TWSE,603.6
20260521,4720,德淵,TWSE,601.0
20260521,3712,永崴投控,TWSE,600.204
20260521,2362,藍天,TWSE,599.119
20260521,3305,昇貿,TWSE,597.31
20260521,00905,FT臺灣Smart,TWSE,593.613
20260521,2351,順德,TWSE,586.282
20260521,5388,中磊,TWSE,582.945
20260521,1905,華紙,TWSE,581.033
20260521,00960,野村全球航運龍頭,TWSE,569.885
20260521,8473,山林水,TWSE,569.725
20260521,3060,銘異,TWSE,569.099
