date,open,high,low,close,volume,ma5,ma20,ma60,ma120,ema23,return_1d,return_5d,return_20d,volume_ratio,distance_to_ma20_pct,distance_to_high_60_pct
20260515,28.85,29.0,28.2,28.4,200646,29.36,30.3225,28.465,27.2975,29.6059,-1.7301,-4.0541,4.4118,0.3486,-6.3402,-20.2247
20260518,28.0,29.75,27.8,28.65,118725,28.99,30.375,28.4217,27.3204,29.5262,0.8803,-6.0656,3.8043,0.2072,-5.679,-19.5225
20260519,29.45,29.45,27.5,28.0,174321,28.59,30.3925,28.3792,27.3421,29.399,-2.2688,-6.6667,1.2658,0.3056,-7.872,-21.3483
20260520,27.85,28.25,27.6,28.0,126057,28.39,30.2725,28.3442,27.3654,29.2824,0.0,-3.4483,-7.8947,0.2322,-7.5068,-21.3483
20260521,28.75,29.1,28.55,28.7,158697,28.35,30.11,28.3367,27.4004,29.2339,2.5,-0.692,-10.1721,0.3505,-4.6828,-19.382
20260522,28.8,31.55,28.8,31.55,1391902,28.98,30.18,28.3725,27.4583,29.4269,9.9303,11.0915,4.6434,2.887,4.5394,-11.3764
20260523,28.8,31.55,28.8,31.55,1391902,29.56,30.24,28.3833,27.5192,29.6038,0.0,10.1222,3.9539,2.6076,4.332,-11.3764
20260524,28.8,31.55,28.8,31.55,1391902,30.27,30.315,28.4092,27.5812,29.766,0.0,12.6786,4.9917,2.4187,4.0739,-11.3764
20260525,32.0,34.7,32.0,34.7,2018132,31.61,30.555,28.4867,27.6721,30.1772,9.9842,23.9286,16.0535,3.0174,13.5657,-2.5281
20260526,32.0,34.7,32.0,34.7,2018132,32.81,30.6475,28.5725,27.7612,30.5541,0.0,20.9059,5.6317,2.7375,13.2229,-2.5281
