# PRICE_WINDOW_135

columns=date,open,high,low,close,volume,ma5,ema23,ma20,ma60,ma120,return_1d,return_5d,return_20d,volume_ratio,distance_to_ema23_pct,distance_to_ma20_pct,distance_to_high_60_pct
PRICE_WINDOW_180_ROW_125=20260513,297.0,306.0,294.0,305.0,36714364,311.1,301.6884,298.8,294.9333,268.375,1.3289,-7.1537,1.3289,0.9495,1.0977,2.075,-16.3237

PRICE_WINDOW_180_ROW_126=20260514,309.0,309.0,295.5,296.0,39127707,302.5,301.2144,299.05,294.9167,269.0333,-2.9508,-12.6844,1.7182,0.9988,-1.7311,-1.0199,-18.7929

PRICE_WINDOW_180_ROW_127=20260515,299.5,306.5,295.5,299.5,36263194,300.2,301.0715,299.85,295.2333,269.7542,1.1824,-3.6977,5.6437,0.9124,-0.522,-0.1167,-17.8326

PRICE_WINDOW_180_ROW_128=20260518,298.0,299.5,286.0,295.0,28058967,299.3,300.5655,300.85,295.425,270.4583,-1.5025,-1.5025,7.2727,0.7051,-1.8517,-1.9445,-19.0672

PRICE_WINDOW_180_ROW_129=20260519,297.0,302.0,289.0,289.0,25944056,296.9,299.6017,301.75,295.3833,271.0708,-2.0339,-3.9867,6.6421,0.6515,-3.5386,-4.2254,-20.7133

PRICE_WINDOW_180_ROW_130=20260520,288.5,289.0,276.5,277.5,33608273,291.4,297.7599,301.575,294.975,271.6458,-3.9792,-9.0164,-1.2456,0.8367,-6.8041,-7.9831,-23.8683

PRICE_WINDOW_180_ROW_131=20260521,286.0,292.5,285.0,286.0,22235703,289.4,296.7799,301.5,294.5167,272.25,3.0631,-3.3784,-0.5217,0.5552,-3.6323,-5.141,-21.5364

