as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260410,1805,4,"10,001-15,000",120,1558709,1.15
20260410,1805,5,"15,001-20,000",67,1206818,0.89
20260410,1805,6,"20,001-30,000",97,2475134,1.83
20260410,1805,7,"30,001-40,000",51,1819748,1.34
20260410,1805,8,"40,001-50,000",24,1114107,0.82
20260410,1805,9,"50,001-100,000",75,5587316,4.13
20260410,1805,10,"100,001-200,000",29,4246750,3.14
20260410,1805,11,"200,001-400,000",23,6362550,4.71
20260410,1805,12,"400,001-600,000",10,4977660,3.68
20260410,1805,13,"600,001-800,000",5,3454000,2.55
20260410,1805,14,"800,001-1,000,000",3,2814948,2.08
20260410,1805,15,"1,000,001以上",21,92693461,68.67
20260410,1805,16,合　計,9510,134970455,100.0
20260417,1805,1,1-999,6767,853917,0.63
20260417,1805,2,"1,000-5,000",1903,3621914,2.68
20260417,1805,3,"5,001-10,000",275,2147360,1.59
20260417,1805,4,"10,001-15,000",120,1560709,1.15
20260417,1805,5,"15,001-20,000",64,1145361,0.84
20260417,1805,6,"20,001-30,000",96,2438942,1.8
20260417,1805,7,"30,001-40,000",51,1821803,1.34
20260417,1805,8,"40,001-50,000",22,1019107,0.75
20260417,1805,9,"50,001-100,000",74,5472438,4.05
20260417,1805,10,"100,001-200,000",31,4477285,3.31
20260417,1805,11,"200,001-400,000",23,6341550,4.69
20260417,1805,12,"400,001-600,000",10,4977660,3.68
20260417,1805,13,"600,001-800,000",5,3439000,2.54
20260417,1805,14,"800,001-1,000,000",3,2834948,2.1
20260417,1805,15,"1,000,001以上",21,92818461,68.76
20260417,1805,16,合　計,9465,134970455,100.0
20260424,1805,1,1-999,6760,852093,0.63
20260424,1805,2,"1,000-5,000",1886,3592505,2.66
20260424,1805,3,"5,001-10,000",269,2097011,1.55
20260424,1805,4,"10,001-15,000",121,1569716,1.16
20260424,1805,5,"15,001-20,000",64,1146361,0.84
20260424,1805,6,"20,001-30,000",96,2446593,1.81
20260424,1805,7,"30,001-40,000",53,1891260,1.4
20260424,1805,8,"40,001-50,000",23,1068107,0.79
20260424,1805,9,"50,001-100,000",69,5124438,3.79
20260424,1805,10,"100,001-200,000",35,4925142,3.64
20260424,1805,11,"200,001-400,000",20,5235160,3.87
20260424,1805,12,"400,001-600,000",12,5811660,4.3
20260424,1805,13,"600,001-800,000",5,3483000,2.58
20260424,1805,14,"800,001-1,000,000",3,2834948,2.1
20260424,1805,15,"1,000,001以上",21,92892461,68.82
20260424,1805,16,合　計,9437,134970455,100.0
