trade_date,stock_id,stock_name,theme,surge_precondition_score,surge_watch_label,reason_summary,risk_flags
20260527,1437,勤益控,other,47.0,D_weak_or_insufficient,quiet_accumulation；靠近MA20；風險:tdcc_price_divergence,tdcc_price_divergence
20260527,1459,聯發,other,47.0,D_weak_or_insufficient,quiet_accumulation；靠近MA20；風險:tdcc_price_divergence,tdcc_price_divergence
20260527,1470,大統新創,other,47.0,D_weak_or_insufficient,靠近MA20,
20260527,1515,力山,other,47.0,D_weak_or_insufficient,靠近MA20,
20260527,1788,杏昌,other,47.0,D_weak_or_insufficient,靠近MA20,
20260527,2017,官田鋼,other,47.0,D_weak_or_insufficient,quiet_accumulation；靠近MA20；風險:tdcc_price_divergence,tdcc_price_divergence
20260527,2380,虹光,other,47.0,D_weak_or_insufficient,TDCC領先股價,
20260527,2431,聯昌,other,47.0,D_weak_or_insufficient,quiet_accumulation；靠近MA20；風險:tdcc_price_divergence,tdcc_price_divergence
20260527,2460,建通,other,47.0,D_weak_or_insufficient,TDCC領先股價,
20260527,2462,良得電,other,47.0,D_weak_or_insufficient,靠近MA20,
20260527,2504,國產,other,47.0,D_weak_or_insufficient,quiet_accumulation；靠近MA20；風險:tdcc_price_divergence,tdcc_price_divergence
20260527,2506,太設,other,47.0,D_weak_or_insufficient,quiet_accumulation；靠近MA20；風險:tdcc_price_divergence,tdcc_price_divergence
20260527,2528,皇普,other,47.0,D_weak_or_insufficient,靠近MA20,
20260527,2618,長榮航,other,47.0,D_weak_or_insufficient,quiet_accumulation；靠近MA20；風險:tdcc_price_divergence,tdcc_price_divergence
20260527,2706,第一店,other,47.0,D_weak_or_insufficient,quiet_accumulation；靠近MA20；風險:tdcc_price_divergence,tdcc_price_divergence
20260527,3029,零壹,other,47.0,D_weak_or_insufficient,靠近MA20,
20260527,3056,富華新,other,47.0,D_weak_or_insufficient,靠近MA20,
20260527,3234,光環,other,47.0,D_weak_or_insufficient,TDCC領先股價；靠近MA20,
20260527,3265,台星科,other,47.0,D_weak_or_insufficient,TDCC領先股價；靠近MA20,
20260527,3483,力致,other,47.0,D_weak_or_insufficient,TDCC領先股價；靠近MA20,
20260527,3541,西柏,other,47.0,D_weak_or_insufficient,quiet_accumulation；靠近MA20；風險:tdcc_price_divergence,tdcc_price_divergence
20260527,3680,家登,other,47.0,D_weak_or_insufficient,TDCC領先股價；靠近MA20,
20260527,3684,榮昌,other,47.0,D_weak_or_insufficient,靠近MA20,
