ticker,name,market,date,revenue_period,industry,revenue_yoy_pct,cumulative_yoy_pct,close,ma20,ma60,gap_ma20_pct,gap_ma60_pct,return_10d_pct,return_20d_pct,score,judge
3702,大聯大,listed,20260515,11504,電子通路業,38.74,30.3,110.0,104.1,88.98,5.67,23.63,8.91,12.02,55,初步觀察
2606,裕民,listed,20260515,11504,航運業,38.67,20.02,62.8,62.92,61.96,-0.2,1.35,3.63,-1.88,55,初步觀察
2945,三商家購,listed,20260515,11504,貿易百貨,38.55,17.65,40.5,41.34,41.27,-2.04,-1.88,-1.58,-4.03,55,初步觀察
2397,友通,listed,20260515,11504,電腦及週邊設備業,38.33,23.66,59.4,58.61,57.72,1.34,2.9,5.13,0.17,55,初步觀察
4438,廣越,listed,20260515,11504,紡織纖維,38.32,11.26,57.2,57.57,60.02,-0.64,-4.69,2.69,-3.38,55,初步觀察
2455,全新,listed,20260515,11504,通信網路業,37.75,24.68,358.5,346.38,273.57,3.5,31.05,3.17,23.62,55,初步觀察
2027,大成鋼,listed,20260515,11504,鋼鐵工業,37.67,24.26,39.85,38.08,37.51,4.66,6.25,5.7,6.84,55,初步觀察
4441,振大環球,listed,20260515,11504,紡織纖維,37.34,28.59,206.0,195.75,209.49,5.24,-1.67,10.46,5.37,55,初步觀察
4583,台灣精銳,listed,20260515,11504,電機機械,35.05,12.71,774.0,752.5,692.17,2.86,11.82,1.31,5.02,55,初步觀察
6282,康舒,listed,20260515,11504,電子零組件業,34.61,23.65,49.6,50.0,48.47,-0.79,2.34,4.75,-1.0,55,初步觀察
3652,精聯,listed,20260515,11504,電腦及週邊設備業,34.56,16.32,29.75,29.99,28.27,-0.78,5.24,-2.46,6.44,55,初步觀察
3052,夆典,listed,20260515,11504,建材營造,34.24,20.07,10.55,10.76,11.07,-1.95,-4.71,-0.94,-4.95,55,初步觀察
6951,青新-創,listed,20260515,11504,綠能環保,33.23,24.46,79.8,80.64,78.85,-1.04,1.21,-1.6,-2.92,55,初步觀察
1503,士電,listed,20260515,11504,電機機械,32.53,16.32,190.0,196.38,199.51,-3.25,-4.77,0.26,-3.06,55,初步觀察
6770,力積電,listed,20260515,11504,半導體業,32.46,24.74,62.8,56.89,61.17,10.4,2.67,21.0,16.3,55,初步觀察
8150,南茂,listed,20260515,11504,半導體業,32.23,27.09,80.9,78.6,66.43,2.92,21.79,15.9,9.77,55,初步觀察
9958,世紀鋼,listed,20260515,11504,鋼鐵工業,32.12,20.57,104.5,104.35,115.1,0.14,-9.21,3.47,-1.88,55,初步觀察
2845,遠東銀,listed,20260515,11504,金融保險業,31.99,15.34,12.05,12.29,12.44,-1.95,-3.14,-1.63,-5.12,55,初步觀察
