date,ticker,name,market,close,volume_lots,pattern,pattern_stage,pattern_score,a_date,a_low,b_date,neckline,c_date,c_low,second_low_gap_pct,rebound_from_a_pct,current_from_c_pct,distance_to_neckline_pct,attack1_gain_pct,attack2_gain_pct,attack1_avg_volume_lots,attack2_avg_volume_lots,volume_ratio_2_vs_1,attack1_red_count,attack2_red_count,red_body_ratio_2_vs_1,industry,is_mainstream,tdcc_date,tdcc_over_400_pct,tdcc_over_400_change,tdcc_over_1000_pct,tdcc_over_1000_change,tdcc_judge,stage_order
20260518,2374,佳能,TWSE,82.4,17734.0,W底右側攻擊增強・預備發動,已突破但未過熱,120,20260402,66.2,20260422,79.5,20260423,70.0,5.74,20.09,17.71,3.65,14.29,16.06,4456.0,14241.0,3.2,3,8,4.21,光電業,True,20260515,29.56,0.73,24.26,-0.06,中大戶增加,3
20260518,3149,正達,TWSE,59.0,52944.0,W底右側攻擊增強・預備發動,已突破但未過熱,120,20260206,48.2,20260225,56.5,20260508,48.25,0.1,17.22,22.28,4.42,8.79,22.28,8559.0,25535.0,2.98,2,5,4.28,光電業,True,20260515,33.36,0.32,24.61,-1.47,中大戶增加,3
20260518,2377,微星,TWSE,113.0,26747.0,W底右側攻擊增強・預備發動,已突破但未過熱,120,20260415,88.2,20260423,106.0,20260428,91.3,3.51,20.18,23.77,6.6,10.48,16.02,13047.0,35276.0,2.7,4,7,4.54,電腦及週邊設備業,True,20260515,60.19,-1.26,55.81,-0.9,大戶籌碼減少,3
20260518,3062,建漢,TWSE,28.25,8743.0,W底右側攻擊增強・預備發動,已突破但未過熱,120,20251230,23.1,20260126,27.8,20260210,23.75,2.81,20.35,18.95,1.62,15.27,18.7,5311.0,12908.0,2.43,8,24,6.03,通信網路業,True,20260515,24.49,-2.58,17.51,-1.64,大戶籌碼減少,3
20260518,4585,達明,TWSE,348.0,1481.0,W底右側攻擊增強・預備發動,已突破但未過熱,120,20260309,287.0,20260318,331.0,20260323,297.0,3.48,15.33,17.17,5.14,7.78,16.78,248.0,529.0,2.13,4,12,4.8,其他電子業,True,20260515,76.71,0.0,76.14,0.0,變化不明顯,3
20260518,2401,凌陽,TWSE,24.8,4363.0,W底右側攻擊增強・預備發動,已突破但未過熱,120,20260202,20.85,20260224,24.15,20260316,20.3,-2.64,15.83,22.17,2.69,12.62,20.98,3403.0,6673.0,1.96,6,16,2.68,半導體業,True,20260515,38.18,0.33,33.03,0.76,中大戶/超大戶同步增加,3
20260518,6781,AES-KY,TWSE,1185.0,1084.0,W底右側攻擊增強・預備發動,已突破但未過熱,120,20260309,935.0,20260326,1175.0,20260402,957.0,2.35,25.67,23.82,0.85,10.26,23.82,1226.0,2040.0,1.66,4,10,2.13,電子零組件業,True,20260515,71.56,-0.51,69.91,0.0,變化不明顯,3
20260518,8081,致新,TWSE,270.0,1918.0,W底右側攻擊增強・預備發動,已突破但未過熱,120,20251230,207.5,20260128,261.0,20260331,224.0,7.95,25.78,20.54,3.45,16.79,20.0,639.0,944.0,1.48,7,14,2.75,半導體業,True,20260515,40.3,0.01,24.18,0.0,中大戶增加,3
20260518,3059,華晶科,TWSE,43.2,12820.0,W底右側攻擊增強・預備發動,已突破但未過熱,116,20260206,37.05,20260225,40.7,20260423,35.95,-2.97,9.85,20.17,6.14,6.14,17.87,2320.0,7035.0,3.03,3,9,3.66,光電業,True,20260515,27.44,-0.25,21.63,-0.33,大戶籌碼減少,3
20260518,1409,新纖,TWSE,16.7,5126.0,W底右側攻擊增強・預備發動,已突破但未過熱,116,20260202,14.6,20260226,15.8,20260305,14.7,0.68,8.22,13.61,5.7,5.78,12.08,3821.0,9247.0,2.42,5,20,6.05,紡織纖維,False,20260515,66.12,0.47,62.78,0.37,中大戶/超大戶同步增加,3
20260518,8105,凌巨,TWSE,15.75,5277.0,W底右側攻擊增強・預備發動,已突破但未過熱,116,20260331,12.45,20260415,14.8,20260427,12.75,2.41,18.88,23.53,6.42,15.66,19.77,3033.0,6936.0,2.29,6,6,2.71,光電業,True,20260515,63.01,0.61,60.2,1.0,中大戶/超大戶同步增加,3
20260518,3035,智原,TWSE,193.0,10899.0,W底右側攻擊增強・預備發動,已突破但未過熱,116,20251226,164.0,20260107,179.5,20260109,165.5,0.91,9.45,16.62,7.52,7.27,15.22,3941.0,7495.0,1.9,4,31,14.22,半導體業,True,20260515,30.29,0.69,24.26,-0.64,中大戶增加,3
20260518,3014,聯陽,TWSE,135.5,1226.0,W底右側攻擊增強・預備發動,已突破但未過熱,116,20260202,115.0,20260226,126.0,20260309,112.0,-2.61,9.57,20.98,7.54,5.13,18.34,834.0,1525.0,1.83,4,15,4.8,半導體業,True,20260515,31.86,-1.63,19.34,-1.96,大戶籌碼減少,3
20260518,9933,中鼎,TWSE,36.8,3229.0,W底右側攻擊增強・預備發動,已突破但未過熱,116,20260105,30.6,20260119,34.6,20260224,30.15,-1.47,13.07,22.06,6.36,9.48,20.66,3866.0,7057.0,1.83,7,19,5.46,其他,False,20260515,58.08,-0.22,52.67,-0.01,大戶籌碼減少,3
