source_version,condition_variant_id,metric_basis,episode_count,stock_count,launch_count,no_launch_count,right_censored_count,retrospective_launch_rate_pct,unresolved_candidate_count,observed_d20_count,first_breakout_d20_positive_rate_pct,first_breakout_d20_neutral_rate_pct,first_breakout_d20_loss_rate_pct,first_breakout_d20_high_return_ge20_rate_pct,first_breakout_d20_mean_pct,first_breakout_d20_median_pct,first_breakout_d20_min_pct,first_breakout_d20_max_pct,metric_interpretation,research_only,formal_model_use_allowed,promotion_evidence_allowed,pdf_consumption_allowed,production_change
v3_candidate,absolute_or_two_month_yoy_ge17_5,candidate_exclusion_sensitivity_only,1424,1191,343,184,897,65.0854,0,1263,46.7933,1.1085,52.0982,15.0435,4.3353,-0.6061,-31.8038,119.5918,retrospective_close_observation_not_formal_operation_win_rate,true,false,false,false,false
v3_candidate,absolute_or_two_month_yoy_ge18,primary_all_rows,1574,1316,362,190,1022,65.5797,156,1403,46.0442,1.0691,52.8867,14.6115,4.2098,-0.7576,-89.832,562.6506,retrospective_close_observation_not_formal_operation_win_rate,true,false,false,false,false
v3_candidate,absolute_or_two_month_yoy_ge18,candidate_exclusion_sensitivity_only,1418,1186,341,186,891,64.7059,0,1258,46.8203,1.1129,52.0668,15.1828,4.3021,-0.6421,-31.8038,119.5918,retrospective_close_observation_not_formal_operation_win_rate,true,false,false,false,false
v3_candidate,absolute_or_two_month_yoy_ge20,primary_all_rows,1548,1295,353,193,1002,64.652,156,1385,46.1372,1.0108,52.852,14.5848,4.2981,-0.7576,-89.832,562.6506,retrospective_close_observation_not_formal_operation_win_rate,true,false,false,false,false
v3_candidate,absolute_or_two_month_yoy_ge20,candidate_exclusion_sensitivity_only,1392,1165,332,189,871,63.7236,0,1240,46.9355,1.0484,52.0161,15.1613,4.4021,-0.5995,-31.8038,119.5918,retrospective_close_observation_not_formal_operation_win_rate,true,false,false,false,false
v3_candidate,absolute_or_two_month_yoy_ge25,primary_all_rows,1524,1273,344,188,992,64.6617,156,1360,46.25,0.9559,52.7941,14.3382,4.1616,-0.7498,-89.832,562.6506,retrospective_close_observation_not_formal_operation_win_rate,true,false,false,false,false
v3_candidate,absolute_or_two_month_yoy_ge25,candidate_exclusion_sensitivity_only,1368,1143,323,184,861,63.7081,0,1215,47.0782,0.9877,51.9342,14.8971,4.2514,-0.5882,-31.8038,119.5918,retrospective_close_observation_not_formal_operation_win_rate,true,false,false,false,false
v3_candidate,absolute_strong,primary_all_rows,1520,1268,342,191,987,64.1651,156,1357,46.2049,0.958,52.8371,14.2225,4.1374,-0.7553,-89.832,562.6506,retrospective_close_observation_not_formal_operation_win_rate,true,false,false,false,false
v3_candidate,absolute_strong,candidate_exclusion_sensitivity_only,1364,1138,321,187,856,63.189,0,1212,47.0297,0.9901,51.9802,14.769,4.2358,-0.5905,-31.8038,119.5918,retrospective_close_observation_not_formal_operation_win_rate,true,false,false,false,false
v3_candidate,two_month_yoy_ge15_only,primary_all_rows,327,316,58,103,166,36.0248,1,263,48.289,1.1407,50.5703,11.7871,3.9131,-0.1361,-21.617,108.4034,retrospective_close_observation_not_formal_operation_win_rate,true,false,false,false,false
v3_candidate,two_month_yoy_ge15_only,candidate_exclusion_sensitivity_only,326,315,58,102,166,36.25,0,262,48.4733,1.145,50.3817,11.8321,4.0056,-0.1275,-21.617,108.4034,retrospective_close_observation_not_formal_operation_win_rate,true,false,false,false,false
