# PRICE_WINDOW_121

columns=date,open,high,low,close,volume,ma5,ma20,ma60,ma120,ema23,return_1d,return_5d,return_20d,volume_ratio,distance_to_ma20_pct,distance_to_high_60_pct
PRICE_WINDOW_180_ROW_093=20260417,11.65,11.75,11.65,11.75,12000,11.73,11.8125,11.8992,11.8323,11.8278,0.8584,0.8584,-4.0816,0.17,-0.5291,-9.6154

PRICE_WINDOW_180_ROW_094=20260420,11.6,11.75,11.55,11.75,9000,11.71,11.7825,11.9,11.8314,11.8213,0.0,-0.8439,-4.8583,0.1268,-0.2758,-9.6154

PRICE_WINDOW_180_ROW_095=20260421,11.85,11.85,11.5,11.65,65000,11.7,11.7725,11.8992,11.8295,11.807,-0.8511,-0.4274,-1.6878,1.1092,-1.0406,-10.3846

PRICE_WINDOW_180_ROW_096=20260422,11.55,11.9,11.5,11.7,57000,11.7,11.7675,11.905,11.8281,11.7981,0.4292,0.0,-0.8475,0.9492,-0.5736,-10.0

PRICE_WINDOW_180_ROW_097=20260423,11.85,11.85,11.5,11.6,70000,11.69,11.7625,11.9067,11.8258,11.7816,-0.8547,-0.4292,-0.8547,1.1327,-1.3815,-10.7692

PRICE_WINDOW_180_ROW_098=20260424,11.45,11.55,11.45,11.5,4000,11.64,11.7525,11.9042,11.8224,11.7581,-0.8621,-2.1277,-1.7094,0.0646,-2.1485,-11.5385

PRICE_WINDOW_180_ROW_099=20260427,11.35,11.55,11.3,11.55,20000,11.6,11.745,11.9017,11.8197,11.7408,0.4348,-1.7021,-1.2821,0.454,-1.6603,-11.1538

PRICE_WINDOW_180_ROW_100=20260428,11.75,11.8,11.45,11.5,8000,11.57,11.7375,11.9,11.8165,11.7207,-0.4329,-1.2876,-1.2876,0.1802,-2.0234,-11.5385

PRICE_WINDOW_180_ROW_101=20260429,11.45,11.6,11.35,11.6,10000,11.55,11.725,11.8975,11.8144,11.7107,0.8696,-0.8547,-2.1097,0.223,-1.0661,-10.7692

PRICE_WINDOW_180_ROW_102=20260430,11.45,11.7,11.45,11.6,38000,11.55,11.7125,11.8992,11.8123,11.7014,0.0,0.0,-2.1097,0.8207,-0.9605,-10.7692

PRICE_WINDOW_180_ROW_103=20260504,11.5,12.0,11.5,11.95,55000,11.64,11.7025,11.905,11.8136,11.7221,3.0172,3.913,-1.6461,1.1224,2.1149,-8.0769

PRICE_WINDOW_180_ROW_104=20260505,11.95,12.0,11.75,11.8,27000,11.69,11.69,11.9058,11.8135,11.7286,-1.2552,2.1645,-2.0747,0.766,0.941,-9.2308

PRICE_WINDOW_180_ROW_105=20260506,12.0,12.05,11.85,12.05,39000,11.8,11.7075,11.9092,11.8157,11.7554,2.1186,4.7826,2.9915,1.6421,2.9255,-7.3077

PRICE_WINDOW_180_ROW_106=20260507,12.05,12.8,12.05,12.8,110000,12.04,11.7575,11.9217,11.825,11.8425,6.2241,10.3448,8.4746,3.8128,8.8667,-1.5385

PRICE_WINDOW_180_ROW_107=20260508,13.6,13.6,12.6,12.8,27000,12.28,11.8075,11.9333,11.8341,11.9223,0.0,10.3448,8.4746,0.8955,8.4057,-5.8824

PRICE_WINDOW_180_ROW_108=20260511,12.7,12.8,12.55,12.6,52000,12.41,11.855,11.945,11.8412,11.9787,-1.5625,5.4393,8.1545,1.6174,6.2843,-7.3529

PRICE_WINDOW_180_ROW_109=20260512,12.5,12.95,12.5,12.95,47000,12.64,11.91,11.9583,11.8514,12.0597,2.7778,9.7458,9.2827,1.3926,8.7322,-4.7794

PRICE_WINDOW_180_ROW_110=20260513,12.75,12.8,12.55,12.8,33000,12.79,11.965,11.9667,11.86,12.1214,-1.1583,6.2241,9.4017,0.9415,6.9787,-5.8824

PRICE_WINDOW_180_ROW_111=20260514,12.85,12.85,12.75,12.8,32000,12.79,12.02,11.9792,11.8685,12.1779,0.0,0.0,9.4017,0.8852,6.4892,-5.8824

PRICE_WINDOW_180_ROW_112=20260515,12.85,12.85,12.8,12.85,33000,12.8,12.08,11.9917,11.8772,12.2339,0.3906,0.3906,10.3004,0.8824,6.3742,-5.5147

PRICE_WINDOW_180_ROW_113=20260518,12.85,12.9,12.85,12.9,4000,12.86,12.1375,12.0083,11.8863,12.2894,0.3891,2.381,9.7872,0.1081,6.2822,-5.1471

PRICE_WINDOW_180_ROW_114=20260519,12.85,12.9,12.85,12.9,21000,12.85,12.195,12.0233,11.8952,12.3403,0.0,-0.3861,9.7872,0.5585,5.7811,-5.1471

PRICE_WINDOW_180_ROW_115=20260520,13.15,13.2,13.05,13.1,12000,12.91,12.2675,12.0392,11.9057,12.4036,1.5504,2.3438,12.4464,0.3433,6.7862,-3.6765

PRICE_WINDOW_180_ROW_116=20260521,13.1,13.25,12.8,13.25,45000,13.0,12.345,12.0592,11.9172,12.4742,1.145,3.5156,13.2479,1.31,7.3309,-2.5735

PRICE_WINDOW_180_ROW_117=20260522,13.1,13.7,12.85,13.05,13,13.04,12.4175,12.0758,11.9269,12.5221,-1.5094,1.5564,12.5,0.0004,5.0936,-4.7445

PRICE_WINDOW_180_ROW_118=20260523,13.1,13.7,12.85,13.05,13,13.07,12.495,12.0958,11.9364,12.5661,0.0,1.1628,13.4783,0.0004,4.4418,-4.7445

PRICE_WINDOW_180_ROW_119=20260524,13.1,13.7,12.85,13.05,13,13.1,12.57,12.1158,11.9458,12.6065,0.0,1.1628,12.987,0.0004,3.8186,-4.7445

PRICE_WINDOW_180_ROW_120=20260525,13.1,13.3,12.85,13.3,13,13.14,12.66,12.1342,11.9571,12.6642,1.9157,1.5267,15.6522,0.0004,5.0553,-2.9197

PRICE_WINDOW_180_ROW_121=20260526,13.1,13.3,12.85,13.3,13,13.15,12.745,12.1533,11.9638,12.7172,0.0,0.3774,14.6552,0.0005,4.3546,-2.9197
