date,ticker,name,market,open,high,low,close,volume,turnover
20250924,3455,由田,otc,249.5,251.5,241.5,241.5,1666165.0,408574900.0
20250924,3465,進泰電子,otc,27.95,30.55,27.6,28.6,181118.0,5340207.0
20250924,3466,德晉,otc,33.8,33.8,32.6,32.95,649379.0,21364085.0
20250924,3467,台灣精材,otc,75.5,76.8,74.0,74.7,312013.0,23355867.0
20250924,3479,安勤,otc,138.5,139.0,133.0,135.0,3639939.0,492335809.0
20250924,3483,力致,otc,96.0,96.9,94.6,95.0,629282.0,60045290.0
20250924,3484,崧騰,otc,43.2,43.9,42.95,43.7,313301.0,13608574.0
20250924,3485,敘豐,otc,360.0,360.0,327.0,334.0,877577.0,298665934.0
20250924,3489,森寶,otc,21.5,21.8,21.5,21.8,85198.0,1836562.0
20250924,3490,單井,otc,39.2,39.2,38.0,38.45,1813533.0,69839085.0
20250924,3491,昇達科,otc,2120.0,2200.0,2120.0,2200.0,1371864.0,3001698735.0
20250924,3492,長盛,otc,24.3,24.3,23.55,23.8,348906.0,8338320.0
20250924,3498,陽程,otc,149.5,152.5,148.0,151.0,658113.0,99225441.0
20250924,3499,環天科,otc,14.75,14.75,14.4,14.7,87937.0,1282091.0
20250924,3508,位速,otc,20.3,20.55,19.9,20.35,247952.0,4994187.0
20250924,3511,矽瑪,otc,20.3,20.9,20.15,20.8,418296.0,8560496.0
20250924,3512,皇龍,otc,20.55,20.6,20.45,20.55,56909.0,1167868.0
20250924,3516,亞帝歐,otc,23.1,23.95,23.0,23.2,63801.0,1490848.0
20250924,3520,華盈,otc,14.6,14.75,14.45,14.65,120827.0,1759809.0
20250924,3521,台鋼建設,otc,12.2,12.2,12.1,12.1,85454.0,1038976.0
20250924,3522,御嵿,otc,11.75,12.0,11.6,11.75,219672.0,2591061.0
20250924,3523,迎輝,otc,15.95,15.95,15.95,15.95,742797.0,11847602.0
20250924,3526,凡甲,otc,370.0,373.0,365.5,369.0,656035.0,242312496.0
