variant,horizon,slippage_bps,partition,population,samples,stocks,signal_dates,entry_dates,total_input_signals,condition_passed_signals,unsupported_signals,filter_rejected_signals,overlap_blocked_signals,missing_entry_signals,entry_after_as_of_signals,immature_positions,missing_exit_positions,purged_positions,anomaly_candidate_positions,win_count,neutral_count,failure_count,win_rate_pct,neutral_rate_pct,failure_rate_pct,mean_net_return_pct,median_net_return_pct,high_return_ge10_rate_pct,loss_le_minus10_rate_pct,min_net_return_pct,max_net_return_pct,formal_use,promotion_evidence_allowed
tdcc_both_up_count_ge2,20,20,all,sensitivity_excluding_candidates,6574,1532,217,217,210140,83993,0,126147,76506,21,8,630,27,616,0,2559,0,4015,38.92607240644965,0.0,61.07392759355035,-1.0812363877850986,-1.8392820828621155,11.606327958624886,15.150593246121083,-36.495838493353894,35.231612118399944,False,False
tdcc_both_up_count_ge2,20,0,training,primary,3556,1349,107,107,99756,38626,0,61130,35047,10,0,0,13,0,73,1468,0,2088,41.28233970753656,0.0,58.71766029246345,0.24103034897569584,-1.4184279268621247,12.626546681664792,12.935883014623172,-53.27999131292553,163.43803217669722,False,False
tdcc_both_up_count_ge2,20,0,training,sensitivity_excluding_candidates,3483,1337,106,106,99756,38626,0,61130,35047,10,0,0,13,0,0,1396,0,2087,40.080390467987364,0.0,59.91960953201263,-0.8267854121700766,-1.5235297574971414,10.824002296870514,13.178294573643413,-33.54973079810357,35.54158563483656,False,False
tdcc_both_up_count_ge2,20,10,training,primary,3556,1349,107,107,99756,38626,0,61130,35047,10,0,0,13,0,73,1425,0,2131,40.07311586051743,0.0,59.92688413948256,0.04074887354190407,-1.6153941048304323,12.401574803149607,13.217097862767154,-53.37333798362897,162.91168246205848,False,False
tdcc_both_up_count_ge2,20,10,training,sensitivity_excluding_candidates,3483,1337,106,106,99756,38626,0,61130,35047,10,0,0,13,0,0,1353,0,2130,38.845822566752794,0.0,61.154177433247206,-1.0249341036332391,-1.7202859417978464,10.594315245478036,13.46540338788401,-33.682498568736726,35.27077327592579,False,False
tdcc_both_up_count_ge2,20,20,training,primary,3556,1349,107,107,99756,38626,0,61130,35047,10,0,0,13,0,73,1374,0,2182,38.63892013498313,0.0,61.361079865016876,-0.15913299925365676,-1.8119671367349306,12.148481439820022,13.667041619797526,-53.466498333632416,162.38638334565252,False,False
tdcc_both_up_count_ge2,20,20,training,sensitivity_excluding_candidates,3483,1337,106,106,99756,38626,0,61130,35047,10,0,0,13,0,0,1302,0,2181,37.38156761412576,0.0,62.61843238587424,-1.2226874496434637,-1.9166493991837796,10.335917312661499,13.924777490668964,-33.815001333839675,35.00050146064559,False,False
tdcc_both_up_count_ge2,20,0,purged_cross_split,primary,652,652,20,20,20286,8287,0,11999,7631,3,0,0,1,652,36,334,0,318,51.22699386503068,0.0,48.77300613496933,4.114478807153091,0.14550399701968036,20.705521472392636,9.509202453987731,-36.91390385983924,147.97257064576516,False,False
tdcc_both_up_count_ge2,20,0,purged_cross_split,sensitivity_excluding_candidates,616,616,20,20,20286,8287,0,11999,7631,3,0,0,1,616,0,299,0,317,48.538961038961034,0.0,51.461038961038966,1.3053399273771784,-0.20947452070545777,16.233766233766232,9.902597402597403,-34.705013440953024,35.20553211673366,False,False
tdcc_both_up_count_ge2,20,10,purged_cross_split,primary,652,652,20,20,20286,8287,0,11999,7631,3,0,0,1,652,36,325,0,327,49.84662576687116,0.0,50.15337423312884,3.9064569161405607,-0.05458692005728203,20.552147239263803,9.815950920245399,-37.039950005973424,147.47712095416523,False,False
